host_ts,source,temp_c,hum_rh,seq,cmd,crc_ok,port
1774836774.639,sim,27.00,62.10,,,,COM4
1774836774.843,frame,26.99,62.09,627,1,1,COM4
1774836775.647,sim,27.15,62.40,,,,COM4
1774836775.720,frame,27.14,62.39,628,1,1,COM4
1774836776.655,sim,27.30,62.70,,,,COM4
1774836776.733,frame,27.29,62.69,629,1,1,COM4
1774836777.664,sim,27.45,63.00,,,,COM4
1774836777.741,frame,27.44,62.99,630,1,1,COM4
1774836778.674,sim,27.60,63.30,,,,COM4
1774836778.751,frame,27.59,63.29,631,1,1,COM4
1774836779.682,sim,27.75,63.60,,,,COM4
1774836779.758,frame,27.74,63.59,632,1,1,COM4
